case,z,y,x,lung,delta,dc,fab,era
CT00000103,160,128,128,0.8921142578125,0.045323446101974696,0.08023937046527863,0,0
CT00000103,160,128,256,0.936737060546875,0.7210626499727368,0.08192911744117737,1,1
CT00000103,160,128,320,0.800372314453125,-2.6066768914461136,0.05867967754602432,1,0
CT00000103,160,192,64,0.688128662109375,-6.1490098014473915,0.05695415288209915,1,1
CT00000103,160,192,128,0.46746826171875,-7.833265699446201,0.05409951135516167,4,0
CT00000103,160,192,192,0.244390869140625,-8.243226446211338,0.05383646488189697,1,0
CT00000103,160,192,256,0.827838134765625,-3.7397018168121576,0.0641620084643364,1,1
CT00000103,160,192,320,0.29278564453125,-7.181494031101465,0.05690133944153786,1,1
CT00000103,200,64,64,0.507208251953125,-4.484204575419426,0.08851143717765808,1,1
CT00000103,200,64,128,0.463214111328125,-3.8968631997704506,0.0629977434873581,0,0
CT00000103,200,64,192,0.20093994140625,-6.161170545965433,0.06615859270095825,0,1
CT00000103,200,64,256,0.60252685546875,-4.29895194247365,0.0872991606593132,1,0
CT00000103,200,128,64,0.78929443359375,-4.328817129135132,0.10574930906295776,0,1
CT00000103,200,128,128,0.917474365234375,0.5558612756431103,0.0677165687084198,1,1
CT00000103,200,128,192,0.43692626953125,-2.559615997597575,0.04503988102078438,0,1
CT00000103,200,128,256,0.976788330078125,-0.1266902545467019,0.166129931807518,1,0
CT00000103,200,128,320,0.357110595703125,-5.9950752183794975,0.08457235991954803,2,1
CT00000103,200,192,64,0.25909423828125,-8.913958445191383,0.07392265647649765,0,0
CT00000103,200,192,128,0.263067626953125,-7.969425059854984,0.06793122738599777,1,0
CT00000103,200,192,256,0.50416259765625,-7.51990731805563,0.0636378601193428,2,1
CT00000104,0,192,64,0.253729248046875,-2.2089912090450525,0.052214544266462326,1,0
CT00000104,40,64,0,0.506488037109375,-2.662498503923416,0.0503062978386879,1,0
CT00000104,40,64,320,0.515972900390625,-1.6585345147177577,0.06427961587905884,1,0
CT00000104,40,128,0,0.66573486328125,-2.7690220158547163,0.05126563832163811,0,1
CT00000104,40,128,64,0.5269775390625,-1.9527525873854756,0.04902734234929085,1,0
CT00000104,40,128,128,0.538037109375,-0.44836776214651763,0.04100087285041809,0,2
CT00000104,40,128,192,0.53836669921875,-0.5079454858787358,0.04268597811460495,2,1
CT00000104,40,128,256,0.4775390625,-0.880846637301147,0.05651239678263664,0,0
CT00000104,40,128,320,0.680316162109375,-1.4910423196852207,0.06307768076658249,0,0
CT00000104,40,192,0,0.3661376953125,-1.6332485247403383,0.03539459407329559,1,1
CT00000104,40,192,64,0.966876220703125,0.2698638418223709,0.10092157870531082,1,0
CT00000104,40,192,128,0.4480712890625,-4.76562837138772,0.035632550716400146,1,1
CT00000104,40,192,192,0.5988525390625,-3.9000827819108963,0.03620865195989609,0,0
CT00000104,40,192,256,0.909051513671875,-0.562004919629544,0.08281070739030838,0,0
CT00000104,40,192,320,0.604736328125,-2.209901576861739,0.047754235565662384,2,1
CT00000104,80,0,64,0.593585205078125,-0.6232779705896974,0.03777603432536125,0,0
CT00000104,80,0,128,0.41722412109375,-1.1772842844948173,0.039056066423654556,1,0
CT00000104,80,64,0,0.618377685546875,-2.896055346354842,0.047479357570409775,0,0
CT00000104,80,64,64,0.98187255859375,-0.3937997971661389,0.1440601795911789,0,2
CT00000104,80,64,128,0.388824462890625,0.35842752549797297,0.04657633602619171,0,0
CT00000104,80,64,320,0.69188232421875,-1.5245822723954916,0.052576567977666855,2,2
CT00000104,80,128,0,0.716650390625,-2.780919661745429,0.052189901471138,0,0
CT00000104,80,128,64,1.0,0.9097243309952319,0.1261647492647171,0,2
CT00000104,80,128,128,0.814056396484375,1.0943934321403503,0.05133775249123573,0,1
CT00000104,80,128,192,0.25296630859375,0.9907230269163847,0.036969948559999466,1,0
CT00000104,80,128,256,0.632855224609375,1.5003038570284843,0.04743517190217972,1,2
CT00000104,80,128,320,0.87767333984375,-1.8960339948534966,0.06942420452833176,1,1
CT00000104,80,192,0,0.38975830078125,-2.8350839857012033,0.04219643771648407,2,1
CT00000104,80,192,64,0.998529052734375,1.2491552624851465,0.187064528465271,2,0
CT00000104,80,192,128,0.514349365234375,-4.154701717197895,0.0358087457716465,1,0
CT00000104,80,192,192,0.596087646484375,-3.163430839776993,0.03520556539297104,1,2
CT00000104,80,192,256,1.0,1.173091703094542,0.11912121623754501,1,1
CT00000104,80,192,320,0.5609375,-2.421415178105235,0.046204596757888794,0,0
